Mode,Mode Name,Character,Tier,Rating,Role,URL
AS,Apocalyptic Shadow,Kafka,T0.5,9.0,SUPPORT DPS,/star-rail/characters/kafka
AS,Apocalyptic Shadow,Lingsha,T0.5,9.0,SUSTAIN,/star-rail/characters/lingsha
AS,Apocalyptic Shadow,Luka,T5,1.0,DPS,/star-rail/characters/luka
AS,Apocalyptic Shadow,Luocha,T1,8.0,SUSTAIN,/star-rail/characters/luocha
AS,Apocalyptic Shadow,Lynx,T2,6.0,SUSTAIN,/star-rail/characters/lynx
AS,Apocalyptic Shadow,March 7Th,T5,1.0,SUSTAIN,/star-rail/characters/march-7th
AS,Apocalyptic Shadow,March 7th (Evernight),T0.5,9.0,SUPPORT DPS,/star-rail/characters/march-7th-evernight
AS,Apocalyptic Shadow,March 7th (Swordmaster),T1,8.0,SUPPORT DPS,/star-rail/characters/march-7th-swordmaster
AS,Apocalyptic Shadow,Misha,T5,1.0,DPS,/star-rail/characters/misha
AS,Apocalyptic Shadow,Moze,T2,6.0,SUPPORT DPS,/star-rail/characters/moze
AS,Apocalyptic Shadow,Mydei,T1,8.0,DPS,/star-rail/characters/mydei
AS,Apocalyptic Shadow,Natasha,T5,1.0,SUSTAIN,/star-rail/characters/natasha
AS,Apocalyptic Shadow,Pela,T1.5,7.0,SUPPORT,/star-rail/characters/pela
AS,Apocalyptic Shadow,Phainon,T0,10.0,DPS,/star-rail/characters/phainon
AS,Apocalyptic Shadow,Qingque,T5,1.0,DPS,/star-rail/characters/qingque
AS,Apocalyptic Shadow,Rappa,T1.5,7.0,DPS,/star-rail/characters/rappa
AS,Apocalyptic Shadow,Robin,T0,10.0,SUPPORT,/star-rail/characters/robin
AS,Apocalyptic Shadow,Ruan Mei,T0,10.0,SUPPORT,/star-rail/characters/ruan-mei
AS,Apocalyptic Shadow,Saber,T0.5,9.0,DPS,/star-rail/characters/saber
AS,Apocalyptic Shadow,Sampo,T5,1.0,SUPPORT DPS,/star-rail/characters/sampo
AS,Apocalyptic Shadow,Seele,T4,2.0,DPS,/star-rail/characters/seele
AS,Apocalyptic Shadow,Serval,T2,6.0,SUPPORT DPS,/star-rail/characters/serval
AS,Apocalyptic Shadow,Silver Wolf,T0.5,9.0,SUPPORT,/star-rail/characters/silver-wolf
AS,Apocalyptic Shadow,Sparkle,T0.5,9.0,SUPPORT,/star-rail/characters/sparkle
AS,Apocalyptic Shadow,Sunday,T0,10.0,SUPPORT,/star-rail/characters/sunday
AS,Apocalyptic Shadow,Sushang,T5,1.0,DPS,/star-rail/characters/sushang
AS,Apocalyptic Shadow,The Herta,T0.5,9.0,DPS,/star-rail/characters/the-herta
AS,Apocalyptic Shadow,Tingyun,T1,8.0,SUPPORT,/star-rail/characters/tingyun
AS,Apocalyptic Shadow,Tingyun Fugue,T1,8.0,SUPPORT,/star-rail/characters/tingyun-fugue
AS,Apocalyptic Shadow,Topaz,T1,8.0,SUPPORT DPS,/star-rail/characters/topaz
AS,Apocalyptic Shadow,Trailblazer (Destruction),T5,1.0,DPS,/star-rail/characters/trailblazer-destruction
AS,Apocalyptic Shadow,Trailblazer (Harmony),T1.5,7.0,SUPPORT,/star-rail/characters/trailblazer-harmony
AS,Apocalyptic Shadow,Trailblazer (Preservation),T5,1.0,SUSTAIN,/star-rail/characters/trailblazer-preservation
AS,Apocalyptic Shadow,Trailblazer (Remembrance),T0,10.0,SUPPORT,/star-rail/characters/trailblazer-remembrance
AS,Apocalyptic Shadow,Tribbie,T0,10.0,SUPPORT,/star-rail/characters/tribbie
AS,Apocalyptic Shadow,Welt,T4,2.0,SUPPORT DPS,/star-rail/characters/welt
AS,Apocalyptic Shadow,Xueyi,T5,1.0,DPS,/star-rail/characters/xueyi
AS,Apocalyptic Shadow,Yanqing,T5,1.0,DPS,/star-rail/characters/yanqing
AS,Apocalyptic Shadow,Yukong,T4,2.0,SUPPORT,/star-rail/characters/yukong
AS,Apocalyptic Shadow,Yunli,T2,6.0,DPS,/star-rail/characters/yunli
